update_date,effective_date,code,name
2007-06-25,2007-06-30,sh.600039,四川路桥
2007-06-25,2007-06-30,sh.600051,宁波联合
2007-06-25,2007-06-30,sh.600054,黄山旅游
2007-06-25,2007-06-30,sh.600056,中国医药
2007-06-25,2007-06-30,sh.600057,厦门象屿
2007-06-25,2007-06-30,sh.600059,古越龙山
2007-06-25,2007-06-30,sh.600061,国投资本
2007-06-25,2007-06-30,sh.600063,皖维高新
2007-06-25,2007-06-30,sh.600064,南京高科
2007-06-25,2007-06-30,sh.600067,冠城大通
2007-06-25,2007-06-30,sh.600069,银鸽投资
2007-06-25,2007-06-30,sh.600071,凤凰光学
2007-06-25,2007-06-30,sh.600072,中船科技
2007-06-25,2007-06-30,sh.600074,*ST保千
2007-06-25,2007-06-30,sh.600075,新疆天业
2007-06-25,2007-06-30,sh.600079,人福医药
2007-06-25,2007-06-30,sh.600082,海泰发展
2007-06-25,2007-06-30,sh.600086,东方金钰
2007-06-25,2007-06-30,sh.600091,ST明科
2007-06-25,2007-06-30,sh.600095,哈高科
2007-06-25,2007-06-30,sh.600103,青山纸业
2007-06-25,2007-06-30,sh.600105,永鼎股份
2007-06-25,2007-06-30,sh.600106,重庆路桥
2007-06-25,2007-06-30,sh.600114,东睦股份
2007-06-25,2007-06-30,sh.600120,浙江东方
2007-06-25,2007-06-30,sh.600122,宏图高科
2007-06-25,2007-06-30,sh.600126,杭钢股份
2007-06-25,2007-06-30,sh.600127,金健米业
2007-06-25,2007-06-30,sh.600129,太极集团
2007-06-25,2007-06-30,sh.600130,波导股份
2007-06-25,2007-06-30,sh.600131,岷江水电
2007-06-25,2007-06-30,sh.600135,乐凯胶片
2007-06-25,2007-06-30,sh.600138,中青旅
2007-06-25,2007-06-30,sh.600141,兴发集团
2007-06-25,2007-06-30,sh.600152,维科技术
2007-06-25,2007-06-30,sh.600156,华升股份
2007-06-25,2007-06-30,sh.600157,永泰能源
2007-06-25,2007-06-30,sh.600158,中体产业
2007-06-25,2007-06-30,sh.600159,大龙地产
2007-06-25,2007-06-30,sh.600162,香江控股
2007-06-25,2007-06-30,sh.600168,武汉控股
2007-06-25,2007-06-30,sh.600169,太原重工
2007-06-25,2007-06-30,sh.600172,黄河旋风
2007-06-25,2007-06-30,sh.600176,中国巨石
2007-06-25,2007-06-30,sh.600178,东安动力
2007-06-25,2007-06-30,sh.600179,安通控股
2007-06-25,2007-06-30,sh.600180,瑞茂通
2007-06-25,2007-06-30,sh.600189,吉林森工
2007-06-25,2007-06-30,sh.600191,华资实业
2007-06-25,2007-06-30,sh.600192,长城电工
2007-06-25,2007-06-30,sh.600195,中牧股份
2007-06-25,2007-06-30,sh.600197,伊力特
2007-06-25,2007-06-30,sh.600201,生物股份
2007-06-25,2007-06-30,sh.600202,*ST哈空
2007-06-25,2007-06-30,sh.600203,福日电子
2007-06-25,2007-06-30,sh.600206,有研新材
2007-06-25,2007-06-30,sh.600208,新湖中宝
2007-06-25,2007-06-30,sh.600212,江泉实业
2007-06-25,2007-06-30,sh.600215,长春经开
2007-06-25,2007-06-30,sh.600216,浙江医药
2007-06-25,2007-06-30,sh.600226,瀚叶股份
2007-06-25,2007-06-30,sh.600227,圣济堂
2007-06-25,2007-06-30,sh.600228,ST昌九
2007-06-25,2007-06-30,sh.600230,沧州大化
2007-06-25,2007-06-30,sh.600232,金鹰股份
2007-06-25,2007-06-30,sh.600235,民丰特纸
2007-06-25,2007-06-30,sh.600237,铜峰电子
2007-06-25,2007-06-30,sh.600240,华业资本
2007-06-25,2007-06-30,sh.600247,*ST成城
2007-06-25,2007-06-30,sh.600249,两面针
2007-06-25,2007-06-30,sh.600251,冠农股份
2007-06-25,2007-06-30,sh.600253,天方药业
2007-06-25,2007-06-30,sh.600255,梦舟股份
2007-06-25,2007-06-30,sh.600258,首旅酒店
2007-06-25,2007-06-30,sh.600260,凯乐科技
2007-06-25,2007-06-30,sh.600261,阳光照明
2007-06-25,2007-06-30,sh.600262,北方股份
2007-06-25,2007-06-30,sh.600263,路桥建设
2007-06-25,2007-06-30,sh.600268,国电南自
2007-06-25,2007-06-30,sh.600275,ST昌鱼
2007-06-25,2007-06-30,sh.600277,亿利洁能
2007-06-25,2007-06-30,sh.600278,东方创业
2007-06-25,2007-06-30,sh.600279,重庆港九
2007-06-25,2007-06-30,sh.600280,中央商场
2007-06-25,2007-06-30,sh.600281,太化股份
2007-06-25,2007-06-30,sh.600284,浦东建设
2007-06-25,2007-06-30,sh.600288,大恒科技
2007-06-25,2007-06-30,sh.600289,*ST信通
2007-06-25,2007-06-30,sh.600292,远达环保
2007-06-25,2007-06-30,sh.600293,三峡新材
2007-06-25,2007-06-30,sh.600298,安琪酵母
2007-06-25,2007-06-30,sh.600300,维维股份
2007-06-25,2007-06-30,sh.600302,标准股份
2007-06-25,2007-06-30,sh.600303,曙光股份
2007-06-25,2007-06-30,sh.600306,商业城
2007-06-25,2007-06-30,sh.600315,上海家化
2007-06-25,2007-06-30,sh.600317,营口港
2007-06-25,2007-06-30,sh.600319,亚星化学
2007-06-25,2007-06-30,sh.600321,*ST正源
2007-06-25,2007-06-30,sh.600322,天房发展
2007-06-25,2007-06-30,sh.600323,瀚蓝环境
2007-06-25,2007-06-30,sh.600325,华发股份
2007-06-25,2007-06-30,sh.600326,西藏天路
2007-06-25,2007-06-30,sh.600327,大东方
2007-06-25,2007-06-30,sh.600328,兰太实业
2007-06-25,2007-06-30,sh.600330,天通股份
2007-06-25,2007-06-30,sh.600337,美克家居
2007-06-25,2007-06-30,sh.600339,中油工程
2007-06-25,2007-06-30,sh.600343,航天动力
2007-06-25,2007-06-30,sh.600345,长江通信
2007-06-25,2007-06-30,sh.600352,浙江龙盛
2007-06-25,2007-06-30,sh.600356,恒丰纸业
2007-06-25,2007-06-30,sh.600358,国旅联合
2007-06-25,2007-06-30,sh.600359,新农开发
2007-06-25,2007-06-30,sh.600360,华微电子
2007-06-25,2007-06-30,sh.600363,联创光电
2007-06-25,2007-06-30,sh.600365,通葡股份
2007-06-25,2007-06-30,sh.600366,宁波韵升
2007-06-25,2007-06-30,sh.600367,红星发展
2007-06-25,2007-06-30,sh.600372,中航电子
2007-06-25,2007-06-30,sh.600376,首开股份
2007-06-25,2007-06-30,sh.600378,天科股份
2007-06-25,2007-06-30,sh.600382,广东明珠
2007-06-25,2007-06-30,sh.600387,海越能源
2007-06-25,2007-06-30,sh.600388,龙净环保
2007-06-25,2007-06-30,sh.600391,航发科技
2007-06-25,2007-06-30,sh.600392,盛和资源
2007-06-25,2007-06-30,sh.600393,粤泰股份
2007-06-25,2007-06-30,sh.600395,盘江股份
2007-06-25,2007-06-30,sh.600396,金山股份
2007-06-25,2007-06-30,sh.600398,海澜之家
2007-06-25,2007-06-30,sh.600399,*ST抚钢
2007-06-25,2007-06-30,sh.600400,红豆股份
2007-06-25,2007-06-30,sh.600403,大有能源
2007-06-25,2007-06-30,sh.600408,*ST安泰
2007-06-25,2007-06-30,sh.600409,三友化工
2007-06-25,2007-06-30,sh.600416,湘电股份
