date,symbol,open,high,low,close,volume,amount
2015-01-05,600069,4.69,4.83,4.61,4.8,13720602.0,64791121.0
2015-01-06,600069,4.79,4.9,4.7,4.85,13647854.0,65998112.0
2015-01-07,600069,4.82,4.94,4.82,4.91,9830247.0,48016424.0
2015-01-08,600069,4.92,4.97,4.85,4.88,9202584.0,45078814.0
2015-01-09,600069,4.88,4.9,4.75,4.77,7275700.0,35168662.0
2015-01-12,600069,4.75,4.76,4.62,4.64,8306493.0,38726315.0
2015-01-13,600069,4.63,4.69,4.61,4.67,6520673.0,30276915.0
2015-01-14,600069,4.69,4.7,4.52,4.54,8834856.0,40814045.0
2015-01-15,600069,4.54,4.65,4.39,4.63,20422566.0,91585559.0
2015-01-16,600069,4.57,4.66,4.53,4.63,11030132.0,50907379.0
2015-01-19,600069,4.54,4.87,4.44,4.58,18277841.0,84911119.0
2015-01-20,600069,4.59,4.73,4.58,4.69,11206731.0,52208135.0
2015-01-21,600069,4.58,4.79,4.5,4.73,26121535.0,122134915.0
2015-01-22,600069,4.73,4.86,4.68,4.86,21812467.0,104747911.0
2015-01-23,600069,4.84,5.01,4.81,4.86,24279535.0,119349792.0
2015-01-26,600069,4.86,4.91,4.82,4.9,16762854.0,81511623.0
2015-01-27,600069,4.9,4.9,4.78,4.86,13140250.0,63679108.0
2015-01-28,600069,4.86,5.06,4.79,4.99,23496000.0,115934872.0
2015-01-29,600069,4.91,5.03,4.88,4.95,17467234.0,86305734.0
2015-01-30,600069,4.91,5.1,4.91,4.93,18347870.0,91882300.0
2015-02-02,600069,4.86,4.89,4.76,4.81,9422314.0,45523643.0
2015-02-03,600069,4.79,4.9,4.79,4.88,8715996.0,42321098.0
2015-02-04,600069,4.86,4.92,4.82,4.83,8790488.0,42678475.0
2015-02-05,600069,4.88,4.9,4.62,4.65,14327900.0,67988981.0
2015-02-06,600069,4.65,4.66,4.55,4.57,7562413.0,34681439.0
2015-02-09,600069,4.56,4.63,4.52,4.57,6858546.0,31286847.0
2015-02-10,600069,4.57,4.59,4.48,4.54,6092874.0,27628376.0
2015-02-11,600069,4.56,4.6,4.52,4.6,7862715.0,35782657.0
2015-02-12,600069,4.58,4.67,4.56,4.63,7284754.0,33632443.0
2015-02-13,600069,4.63,4.7,4.63,4.66,6858179.0,32048302.0
2015-02-16,600069,4.68,4.74,4.68,4.71,6570727.0,30899093.0
2015-02-17,600069,4.69,4.75,4.69,4.74,8082507.0,38259879.0
2015-02-25,600069,4.79,5.01,4.75,4.93,20917354.0,102462045.0
2015-02-26,600069,4.92,4.96,4.84,4.93,12020572.0,58895976.0
2015-02-27,600069,4.92,5.06,4.85,5.02,20360629.0,100994208.0
2015-03-02,600069,5.02,5.09,4.96,5.02,18010992.0,90463640.0
2015-03-03,600069,4.93,4.93,4.76,4.82,31731636.0,153724960.0
2015-03-04,600069,4.79,4.87,4.79,4.86,16693289.0,80694691.0
2015-03-05,600069,4.85,5.35,4.82,5.35,78318749.0,411605360.0
2015-03-06,600069,5.45,5.76,5.35,5.44,114119658.0,630754048.0
2015-03-09,600069,5.3,5.36,5.0,5.25,47840999.0,248657161.0
2015-03-10,600069,5.18,5.47,5.13,5.41,41422728.0,220491549.0
2015-03-11,600069,5.38,5.44,5.21,5.27,26983920.0,143543482.0
2015-03-12,600069,5.27,5.45,5.24,5.27,26514542.0,141372040.0
2015-03-13,600069,5.26,5.29,5.16,5.28,20640688.0,107943632.0
2015-03-16,600069,5.29,5.4,5.23,5.39,30001422.0,160268643.0
