code,effective_date
600000,2006-04-01
600001,2006-04-01
600002,2006-04-01
600004,2006-04-01
600005,2006-04-01
600006,2006-04-01
600007,2006-04-01
600008,2006-04-01
600009,2006-04-01
600010,2006-04-01
600011,2006-04-01
600012,2006-04-01
600015,2006-04-01
600016,2006-04-01
600018,2006-04-01
600019,2006-04-01
600020,2006-04-01
600021,2006-04-01
600022,2006-04-01
600026,2006-04-01
600027,2006-04-01
600028,2006-04-01
600029,2006-04-01
600030,2006-04-01
600031,2006-04-01
600033,2006-04-01
600035,2006-04-01
600036,2006-04-01
600037,2006-04-01
600050,2006-04-01
600057,2006-04-01
600058,2006-04-01
600060,2006-04-01
600062,2006-04-01
600068,2006-04-01
600073,2006-04-01
600078,2006-04-01
600085,2006-04-01
600087,2006-04-01
600088,2006-04-01
600089,2006-04-01
600091,2006-04-01
600096,2006-04-01
600098,2006-04-01
600100,2006-04-01
600102,2006-04-01
600103,2006-04-01
600104,2006-04-01
600108,2006-04-01
600110,2006-04-01
600115,2006-04-01
600117,2006-04-01
600121,2006-04-01
600123,2006-04-01
600125,2006-04-01
600126,2006-04-01
600138,2006-04-01
600153,2006-04-01
600166,2006-04-01
600170,2006-04-01
600171,2006-04-01
600177,2006-04-01
600183,2006-04-01
600188,2006-04-01
600190,2006-04-01
600196,2006-04-01
600198,2006-04-01
600200,2006-04-01
600205,2006-04-01
600207,2006-04-01
600210,2006-04-01
600215,2006-04-01
600220,2006-04-01
600221,2006-04-01
600231,2006-04-01
600236,2006-04-01
600256,2006-04-01
600266,2006-04-01
600267,2006-04-01
600269,2006-04-01
600270,2006-04-01
600282,2006-04-01
600296,2006-04-01
600307,2006-04-01
600308,2006-04-01
600309,2006-04-01
600320,2006-04-01
600331,2006-04-01
600333,2006-04-01
600339,2006-04-01
600348,2006-04-01
600350,2006-04-01
600357,2006-04-01
600362,2006-04-01
600377,2006-04-01
600380,2006-04-01
600383,2006-04-01
600399,2006-04-01
600408,2006-04-01
600418,2006-04-01
600428,2006-04-01
600500,2006-04-01
600508,2006-04-01
600519,2006-04-01
600548,2006-04-01
600550,2006-04-01
600569,2006-04-01
600581,2006-04-01
600583,2006-04-01
600585,2006-04-01
600591,2006-04-01
600597,2006-04-01
600598,2006-04-01
600600,2006-04-01
600601,2006-04-01
600602,2006-04-01
600608,2006-04-01
600621,2006-04-01
600631,2006-04-01
600635,2006-04-01
600637,2006-04-01
600639,2006-04-01
600642,2006-04-01
600643,2006-04-01
600649,2006-04-01
600652,2006-04-01
600653,2006-04-01
600654,2006-04-01
600660,2006-04-01
600662,2006-04-01
600663,2006-04-01
600674,2006-04-01
600675,2006-04-01
600688,2006-04-01
600690,2006-04-01
600694,2006-04-01
600705,2006-04-01
600707,2006-04-01
600717,2006-04-01
600718,2006-04-01
600724,2006-04-01
600726,2006-04-01
600739,2006-04-01
600740,2006-04-01
600741,2006-04-01
600744,2006-04-01
600747,2006-04-01
600770,2006-04-01
600779,2006-04-01
600780,2006-04-01
600786,2006-04-01
600790,2006-04-01
600795,2006-04-01
600797,2006-04-01
600805,2006-04-01
600808,2006-04-01
600811,2006-04-01
600812,2006-04-01
600820,2006-04-01
600832,2006-04-01
600835,2006-04-01
600839,2006-04-01
600851,2006-04-01
600854,2006-04-01
600863,2006-04-01
600866,2006-04-01
600868,2006-04-01
600871,2006-04-01
600874,2006-04-01
600879,2006-04-01
600881,2006-04-01
600884,2006-04-01
600886,2006-04-01
600887,2006-04-01
600894,2006-04-01
600895,2006-04-01
600900,2006-04-01
600997,2006-04-01
601607,2006-04-01
000001,2006-04-01
000002,2006-04-01
000009,2006-04-01
000012,2006-04-01
000016,2006-04-01
000021,2006-04-01
000022,2006-04-01
000024,2006-04-01
000027,2006-04-01
000031,2006-04-01
000036,2006-04-01
000039,2006-04-01
000059,2006-04-01
000060,2006-04-01
000061,2006-04-01
000063,2006-04-01
000066,2006-04-01
000068,2006-04-01
000069,2006-04-01
000088,2006-04-01
000089,2006-04-01
000099,2006-04-01
000100,2006-04-01
000157,2006-04-01
000400,2006-04-01
000401,2006-04-01
000402,2006-04-01
000406,2006-04-01
000410,2006-04-01
000422,2006-04-01
000423,2006-04-01
000425,2006-04-01
000429,2006-04-01
000488,2006-04-01
000503,2006-04-01
000507,2006-04-01
000511,2006-04-01
000518,2006-04-01
000520,2006-04-01
000527,2006-04-01
000528,2006-04-01
000533,2006-04-01
000538,2006-04-01
000539,2006-04-01
000541,2006-04-01
000543,2006-04-01
000550,2006-04-01
000559,2006-04-01
000568,2006-04-01
000571,2006-04-01
000573,2006-04-01
000581,2006-04-01
000599,2006-04-01
000601,2006-04-01
000607,2006-04-01
000623,2006-04-01
000625,2006-04-01
000629,2006-04-01
000630,2006-04-01
000636,2006-04-01
000651,2006-04-01
000652,2006-04-01
000659,2006-04-01
000666,2006-04-01
000680,2006-04-01
000682,2006-04-01
000698,2006-04-01
000707,2006-04-01
000708,2006-04-01
000709,2006-04-01
000717,2006-04-01
000725,2006-04-01
000726,2006-04-01
000727,2006-04-01
000729,2006-04-01
000733,2006-04-01
000735,2006-04-01
000737,2006-04-01
000758,2006-04-01
000767,2006-04-01
000768,2006-04-01
000778,2006-04-01
000780,2006-04-01
000786,2006-04-01
000792,2006-04-01
000800,2006-04-01
000806,2006-04-01
000807,2006-04-01
000822,2006-04-01
000825,2006-04-01
000828,2006-04-01
000839,2006-04-01
000858,2006-04-01
000866,2006-04-01
000875,2006-04-01
000878,2006-04-01
000886,2006-04-01
000895,2006-04-01
000898,2006-04-01
000900,2006-04-01
000912,2006-04-01
000916,2006-04-01
000917,2006-04-01
000920,2006-04-01
000927,2006-04-01
000930,2006-04-01
000932,2006-04-01
000933,2006-04-01
000937,2006-04-01
000939,2006-04-01
000949,2006-04-01
000956,2006-04-01
000959,2006-04-01
000960,2006-04-01
000962,2006-04-01
000968,2006-04-01
000969,2006-04-01
000970,2006-04-01
000975,2006-04-01
000983,2006-04-01
002024,2006-04-01
600000,2006-04-02
600001,2006-04-02
600002,2006-04-02
600004,2006-04-02
600005,2006-04-02
600006,2006-04-02
600007,2006-04-02
600008,2006-04-02
600009,2006-04-02
600010,2006-04-02
600011,2006-04-02
600012,2006-04-02
600015,2006-04-02
600016,2006-04-02
600018,2006-04-02
600019,2006-04-02
600020,2006-04-02
600021,2006-04-02
600022,2006-04-02
600026,2006-04-02
600027,2006-04-02
600028,2006-04-02
600029,2006-04-02
600030,2006-04-02
600031,2006-04-02
600033,2006-04-02
600035,2006-04-02
600036,2006-04-02
600037,2006-04-02
600050,2006-04-02
600057,2006-04-02
600058,2006-04-02
600060,2006-04-02
600062,2006-04-02
600068,2006-04-02
600073,2006-04-02
600078,2006-04-02
600085,2006-04-02
600087,2006-04-02
600088,2006-04-02
600089,2006-04-02
600091,2006-04-02
600096,2006-04-02
600098,2006-04-02
600100,2006-04-02
600102,2006-04-02
600103,2006-04-02
600104,2006-04-02
600108,2006-04-02
600110,2006-04-02
